input,thread,total_mem,free_mem,used_mem,buff_cache
5000,1,15690.9,6244.5,7311.3,3111.9
5000,1,15690.9,6240.4,7315.3,3119.4
5000,1,15690.9,6225.8,7330.0,3117.4
5000,2,15690.9,6242.6,7313.1,3111.2
5000,2,15690.9,6235.8,7320.0,3111.2
5000,2,15690.9,6217.0,7338.6,3113.3
5000,2,15690.9,6215.1,7340.5,3113.4
5000,2,15690.9,6236.1,7319.4,3111.6
5000,4,15690.9,6235.0,7320.5,3111.3
5000,4,15690.9,6225.6,7329.9,3111.4
5000,4,15690.9,6244.5,7311.0,3109.4
5000,4,15690.9,6245.8,7309.5,3109.6
5000,4,15690.9,6230.0,7325.4,3111.5
5000,8,15690.9,6202.7,7352.8,3113.6
5000,8,15690.9,6220.1,7335.3,3113.9
5000,8,15690.9,6201.3,7354.1,3113.9
5000,8,15690.9,6232.1,7323.5,3111.6
5000,8,15690.9,6207.3,7348.0,3111.7
5000,16,15690.9,6223.7,7331.6,3111.7
5000,16,15690.9,6212.8,7342.5,3111.6
5000,16,15690.9,6186.8,7368.5,3111.7
5000,16,15690.9,6169.5,7386.0,3111.5
5000,16,15690.9,6184.2,7371.2,3103.4
5000,32,15690.9,6189.8,7365.6,3103.4
5000,32,15690.9,6175.3,7380.0,3111.4
5000,32,15690.9,6180.5,7374.6,3103.7
5000,32,15690.9,6194.0,7361.2,3103.6
5000,32,15690.9,6209.7,7345.7,3103.4
6000,1,15690.9,6214.2,7341.1,3103.5
6000,1,15690.9,6239.3,7316.0,3103.8
6000,1,15690.9,6234.2,7321.1,3103.8
6000,1,15690.9,6237.2,7318.3,3098.1
6000,1,15690.9,6225.2,7330.1,3097.1
6000,2,15690.9,6219.2,7336.1,3098.3
6000,2,15690.9,6191.7,7363.7,3092.9
6000,2,15690.9,6226.6,7328.8,3089.0
6000,2,15690.9,6245.3,7310.1,3091.0
6000,2,15690.9,6254.1,7301.2,3089.0
6000,4,15690.9,6248.6,7306.9,3088.6
6000,4,15690.9,6244.8,7310.7,3088.6
6000,4,15690.9,6244.4,7311.0,3088.6
6000,4,15690.9,6230.0,7325.4,3088.7
6000,4,15690.9,6256.7,7298.6,3079.3
6000,8,15690.9,6249.3,7306.0,3079.3
6000,8,15690.9,6247.9,7307.4,3078.5
6000,8,15690.9,6234.9,7320.6,3078.8
6000,8,15690.9,6231.6,7323.7,3078.2
6000,8,15690.9,6226.4,7328.9,3078.3
6000,16,15690.9,6249.2,7306.1,3078.4
6000,16,15690.9,6242.7,7312.8,3078.2
6000,16,15690.9,6257.9,7297.6,3078.3
6000,16,15690.9,6262.7,7292.5,3078.6
6000,16,15690.9,6253.0,7302.5,3078.8
6000,32,15690.9,6257.0,7298.3,3079.2
6000,32,15690.9,6240.7,7314.6,3081.2
6000,32,15690.9,6246.5,7308.9,3081.1
6000,32,15690.9,6252.2,7303.2,3079.0
6000,32,15690.9,6226.3,7329.1,3086.5
7000,1,15690.9,6280.5,7274.8,3079.0
7000,1,15690.9,6270.3,7285.0,3078.9
7000,1,15690.9,6280.3,7275.2,3078.9
7000,1,15690.9,6261.1,7294.2,3078.8
7000,1,15690.9,6256.3,7299.0,3079.1
7000,2,15690.9,6257.3,7298.2,3078.9
7000,2,15690.9,6250.7,7304.7,3079.3
7000,2,15690.9,6242.4,7313.1,3078.5
7000,2,15690.9,6248.3,7307.0,3079.1
7000,2,15690.9,6236.1,7319.4,3078.4
7000,4,15690.9,6234.3,7320.9,3080.9
7000,4,15690.9,6212.0,7343.2,3081.2
7000,4,15690.9,6251.0,7304.2,3079.2
7000,4,15690.9,6239.1,7316.0,3079.4
7000,4,15690.9,6260.7,7294.5,3079.2
7000,8,15690.9,6231.5,7323.9,3079.0
7000,8,15690.9,6222.6,7332.5,3079.7
7000,8,15690.9,6200.2,7355.1,3079.6
7000,8,15690.9,6215.2,7340.0,3079.5
7000,8,15690.9,6213.6,7341.6,3079.3
7000,16,15690.9,6209.0,7346.3,3079.0
7000,16,15690.9,6218.6,7336.6,3079.0
7000,16,15690.9,6201.1,7354.1,3080.7
