input,total_mem,free_mem,pid_mem
4,131680096,70488132,16896.0
4,131680096,70457012,73080.0
4,131680096,70441112,96644.0
4,131680096,70414728,118916.0
4,131680096,70397532,141444.0
4,131680096,70577412,15616.0
4,131680096,70543440,74756.0
4,131680096,70521496,98564.0
4,131680096,70489912,120068.0
4,131680096,70455520,142596.0
8,131680096,70579252,18176.0
8,131680096,70509692,91724.0
8,131680096,70459900,136268.0
8,131680096,70525960,20736.0
8,131680096,70459276,95344.0
8,131680096,70435756,139120.0
8,131680096,70541404,18176.0
8,131680096,70488572,92732.0
8,131680096,70427820,136764.0
8,131680096,70531284,20224.0
8,131680096,70479640,93736.0
8,131680096,70452032,138280.0
8,131680096,70550460,16896.0
8,131680096,70474968,91928.0
8,131680096,70432840,136216.0
16,131680096,70534396,17920.0
16,131680096,70463640,114532.0
16,131680096,70543236,16640.0
16,131680096,70458780,112976.0
16,131680096,70543612,16896.0
16,131680096,70460300,115816.0
16,131680096,70540396,19200.0
16,131680096,70455436,118160.0
16,131680096,70537672,17664.0
16,131680096,70459944,110900.0
32,131680096,70528688,20480.0
32,131680096,70432600,133280.0
32,131680096,70533896,17920.0
32,131680096,70439320,124480.0
32,131680096,70535524,21760.0
32,131680096,70432244,131672.0
32,131680096,70532788,18176.0
32,131680096,70419164,135084.0
32,131680096,70494928,19200.0
32,131680096,70423416,126608.0
1,131680096,70519632,18688.0
1,131680096,70476912,59668.0
1,131680096,70480052,67820.0
1,131680096,70477180,71660.0
1,131680096,70481588,76012.0
1,131680096,70490436,77356.0
1,131680096,70503604,85548.0
1,131680096,70507024,89388.0
1,131680096,70507256,93484.0
1,131680096,70507408,97580.0
1,131680096,70501480,100920.0
1,131680096,70510844,105272.0
1,131680096,70483924,109368.0
1,131680096,70477400,113976.0
1,131680096,70475524,117816.0
1,131680096,70473320,121656.0
1,131680096,70464168,126008.0
1,131680096,70466188,129848.0
1,131680096,70473768,134200.0
1,131680096,70464808,138552.0
1,131680096,70463368,142904.0
1,131680096,70465848,147000.0
1,131680096,70473548,151352.0
1,131680096,70594756,17152.0
1,131680096,70555624,59712.0
1,131680096,70542156,70044.0
1,131680096,70534112,74396.0
1,131680096,70544004,78748.0
1,131680096,70537188,83356.0
1,131680096,70534476,89244.0
1,131680096,70532044,93340.0
1,131680096,70521652,97692.0
1,131680096,70525044,101788.0
1,131680096,70518952,102656.0
1,131680096,70517200,107008.0
1,131680096,70521116,111360.0
1,131680096,70510140,115456.0
1,131680096,70515316,119552.0
1,131680096,70509364,123648.0
1,131680096,70507540,128256.0
1,131680096,70499512,132864.0
1,131680096,70498948,137216.0
1,131680096,70485028,141568.0
1,131680096,70483148,145920.0
1,131680096,70472772,150528.0
1,131680096,70598508,18176.0
1,131680096,70573464,57856.0
1,131680096,70569008,64428.0
1,131680096,70559340,68780.0
1,131680096,70549984,75436.0
1,131680096,70549632,79788.0
1,131680096,70534236,86700.0
1,131680096,70568588,91052.0
1,131680096,70563316,95916.0
1,131680096,70557404,100012.0
1,131680096,70547456,102476.0
1,131680096,70547652,107084.0
1,131680096,70532908,111180.0
1,131680096,70534944,115276.0
1,131680096,70596852,119884.0
1,131680096,70584244,124236.0
1,131680096,70585204,128588.0
1,131680096,70580896,132940.0
1,131680096,70580948,137548.0
