input,thread,task_clock_msec,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,time_elapsed_sec,user_time_sec,sys_time_sec,ipc
5000,64,15203.77,17706,4510,19169,29916446165,18207821318,596598182,17312930,0.700039034,14.787629,0.38928,0.6086224686440793
5000,128,25601.29,25209,6800,26493,50706498765,21782831152,1362789429,31513380,1.009738459,25.048913,0.533104,0.429586575341217
5000,128,17626.66,25898,7130,21683,34834271642,18624747699,721545144,20634407,0.777124038,17.084783,0.520115,0.5346673497413958
5000,128,21032.93,27924,7406,21743,41565080666,18370974280,661699347,17954661,0.878983757,20.490357,0.524292,0.4419809605957857
5000,128,32367.25,35124,7993,25010,64208545615,19838426754,917269101,22520830,1.238191757,31.741406,0.601071,0.30896863593442725
5000,128,24683.55,23653,6777,27484,48785426160,21059427823,1194959770,27520548,0.991645364,24.087718,0.579717,0.43167456924393915
6000,1,6078.55,780,14,16731,11767360836,24602278957,615513908,33750940,5.532744472,5.956982,0.122917,2.0907218959185827
6000,1,6204.44,971,11,16427,11908760420,24633057717,632854223,36531115,5.582279457,6.089385,0.117833,2.0684820962247557
6000,1,6109.94,765,10,16404,11801434270,24641924144,623699463,34226666,5.533634925,6.005357,0.105988,2.088044857957761
6000,1,6175.54,842,11,16592,11866899218,24676022713,629436455,36110346,5.572222858,6.067227,0.109949,2.079399366227937
6000,1,6150.05,838,13,16564,11876886540,24680290382,630312893,36017065,5.550564783,6.028467,0.123804,2.078010116445888
6000,2,6721.41,1101,15,16793,12236075139,25203638571,728223845,49221424,3.064612738,6.610353,0.112835,2.0597812848229844
6000,2,5675.65,1049,18,15078,10076292595,23841496980,537728304,19216585,2.692443739,5.546243,0.130911,2.3660981214291543
6000,2,8109.13,1004,20,17029,15227225044,25735632845,843445995,62555564,3.650195132,7.994952,0.116202,1.6901065539279359
6000,2,6742.78,1166,16,14681,12227920441,24209027183,544602651,19769355,3.197284071,6.627574,0.11892,1.9798155622461822
6000,2,5759.36,1104,19,15507,10198215614,23913129382,551093475,20370730,2.704858349,5.648437,0.111988,2.3448346541303082
6000,4,9470.67,2662,29,18463,14502124525,25140103623,734023067,46373471,2.183463427,9.279192,0.199477,1.7335462524584824
6000,4,9816.65,2542,39,17780,15385953015,25113475230,708647003,43830430,2.223452378,9.668335,0.152351,1.6322339737757219
6000,4,8444.22,2525,29,14979,12535217433,24477234264,603044976,26012960,2.009249796,8.288979,0.158769,1.9526772786215618
6000,4,10328.25,2754,35,19168,15536088208,25239007995,746182445,51967325,2.297897639,10.183051,0.148839,1.6245407246081207
6000,4,9609.9,2192,35,18308,15002305585,25185922716,739613654,49648278,2.213086952,9.441772,0.171904,1.6788034727930121
6000,8,6746.43,4590,28,13359,11782428984,24280485391,555767515,24528766,0.935277348,6.61272,0.138637,2.0607368331242895
6000,8,8821.94,3717,23,15280,16308282402,24795430591,631083371,36988471,1.2222911,8.68564,0.139411,1.5204195009499688
6000,8,9539.17,4252,27,16131,16689176272,24918511655,692656337,43653046,1.26330836,9.383288,0.160936,1.4930941616817024
6000,8,9737.94,4360,34,16284,17088020500,24834261912,672522976,45668123,1.246060635,9.585138,0.15787,1.4533141455442424
6000,8,8448.99,4035,43,14419,14185967188,24866389432,670667244,40039413,1.085298186,8.316431,0.137023,1.752886433646529
6000,16,11511.16,5883,47,16180,19718804905,24962847214,688848952,32978893,0.985284211,11.315667,0.209438,1.2659411832646255
6000,16,10621.82,6926,40,16914,20659703980,25004457078,674033657,32026923,0.86736554,10.466257,0.160897,1.2103008398477546
6000,16,17835.1,6405,41,21050,34410684691,25514439744,785214836,50709169,1.346745498,17.595214,0.249442,0.7414685285432061
6000,16,14369.84,6339,38,16496,28042677124,25269748822,772038830,53705420,1.078147433,14.195163,0.181091,0.9011175612892244
