05-18 19:34:23,2,16384,49872324,71680
05-18 19:34:25,2,16384,49871820,73216
05-18 19:34:26,2,16384,49871068,75008
05-18 19:34:27,2,16384,49871348,76544
05-18 19:34:28,2,16384,49871600,78080
05-18 19:34:29,2,16384,49878420,79616
05-18 19:34:30,2,16384,49862524,81152
05-18 19:34:31,2,16384,49862272,82432
05-18 19:34:32,2,16384,49863056,83968
05-18 19:34:33,2,16384,49863900,86016
05-18 19:34:34,2,16384,49865104,87296
05-18 19:34:35,2,16384,49863844,88576
05-18 19:34:36,2,16384,49855124,89600
05-18 19:34:37,2,16384,49856132,90624
05-18 19:34:38,2,16384,49857168,92152
05-18 19:34:39,2,16384,49856736,93176
05-18 19:34:40,2,16384,49856320,94200
05-18 19:34:41,2,16384,49857780,95224
05-18 19:34:42,2,16384,49858304,96248
05-18 19:34:43,2,16384,49858908,97272
05-18 19:34:44,2,16384,49849832,98040
05-18 19:34:45,2,16384,49849372,99064
05-18 19:34:46,2,16384,49847792,100088
05-18 19:34:47,2,16384,49846344,100856
05-18 19:34:48,2,16384,49846944,101880
05-18 19:34:49,2,16384,49845088,102648
05-18 19:34:50,2,16384,49845576,103672
05-18 19:34:51,2,16384,49844820,104696
05-18 19:34:52,2,16384,49836000,105464
05-18 19:34:53,2,16384,49836004,106488
05-18 19:34:54,2,16384,49830712,107256
05-18 19:34:55,2,16384,49830992,108280
05-18 19:34:56,2,16384,49830508,109304
05-18 19:34:57,2,16384,49831012,110328
05-18 19:34:58,2,16384,49830508,111096
05-18 19:34:59,2,16384,49830008,112120
05-18 19:35:00,2,16384,49830260,113144
05-18 19:35:01,2,16384,49820224,114168
05-18 19:35:02,2,16384,49820476,115192
05-18 19:35:03,2,16384,49820980,116216
05-18 19:35:04,2,16384,49819216,117496
05-18 19:35:05,2,16384,49819472,118776
05-18 19:35:06,2,16384,49819520,119800
05-18 19:35:07,2,16384,49819520,121336
05-18 19:35:08,2,16384,49811456,122616
05-18 19:35:09,2,16384,49810436,123896
05-18 19:35:10,2,16384,49810688,125432
05-18 19:35:11,2,16384,49809476,126968
05-18 19:35:12,2,16384,49810384,128504
05-18 19:35:13,2,16384,49803984,130040
05-18 19:35:14,2,16384,49810468,131832
05-18 19:35:15,2,16384,49811260,133368
