InputSize,Threads,task_clock_msec,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,time_elapsed_sec,user_time_sec,sys_time_sec
5000,16,21834.92,38488,74,36258,42079372367,26786086422,863281391,34953388,1.509308782,21.243583,0.636545
5000,16,21770.63,27006,71,35385,41505491683,26049181975,864101505,38998344,1.522596459,21.138662,0.672612
5000,16,22130.92,39512,57,36794,42773324442,26896813130,884046391,38921132,1.53343926,21.532828,0.640631
5000,16,21260.05,33607,72,38343,40832657802,26975477261,901442856,40686055,1.477391337,20.653928,0.642106
5000,32,29608.18,24143,887,33087,58626455114,26419426351,930203425,28374079,1.188929221,29.095236,0.497756
5000,32,29279.05,25186,968,33012,57716660414,26421227507,929628571,29103587,1.177509096,28.767527,0.495475
5000,32,29356.67,24355,1038,33146,58159129104,26525554938,951386358,29170270,1.167793778,28.854444,0.488191
5000,32,29018.77,24154,971,32776,57366502536,26408432200,929111256,29324582,1.177037202,28.493852,0.509553
5000,32,29733.92,25368,1248,33236,58753124615,26574597487,962175053,30141623,1.201160286,29.244202,0.472552
5000,64,32339.6,19332,1865,36073,63935487168,27525658767,1097718525,32949329,1.286291845,31.827507,0.494754
5000,64,34634.07,19486,1558,38197,68616326934,27504233969,1142879532,33165274,1.358611185,34.116759,0.504257
5000,64,31504.04,21330,1581,39873,62387477004,27525073828,1146562382,33982413,1.258533766,30.984157,0.506018
5000,64,32874.73,22575,1763,38811,65081323222,28127306431,1239969939,35394081,1.299365532,32.299356,0.56258
5000,64,34028.49,21951,1531,35155,67341571534,26824517721,1002716275,30454718,1.328687982,33.511493,0.504624
5000,128,41273.68,50160,2113,40994,81316991276,28308372955,1290113203,37479969,2.066515471,40.472351,0.799967
5000,128,34495.51,33648,2185,42323,68151721833,28291682773,1289414056,38382941,1.517368529,33.826445,0.65858
5000,128,34959.52,23990,1861,42825,69020104323,28664394606,1232677441,37408613,1.492649739,34.371459,0.572874
5000,128,39536.58,31128,1716,41008,78314344042,28111267798,1249496571,34991038,1.503951228,38.960821,0.562228
5000,128,34680.73,26268,2054,40456,68672389703,27742652438,1182527640,34041506,1.348179356,34.132618,0.535873
6000,1,30268.62,241541,50,45733,48593431609,39095503779,1315880104,54528574,22.148753859,25.447788,5.279182
6000,1,30205.42,241554,79,47636,48481217160,39090493590,1316138070,53948488,22.077063839,25.525216,5.182717
6000,1,29997.98,241541,42,46506,48130074856,39250905992,1347294975,56889791,21.838970696,25.444403,4.961366
6000,1,30357.49,241744,44,46610,48823450525,39296652873,1355661893,56374174,22.106742671,25.551469,5.268281
6000,1,30259.46,241654,45,46966,48745248302,39171470150,1332131259,55297204,22.145135111,25.424925,5.343747
6000,2,27608.5,127908,51,45541,48068958522,36919788242,1122326349,54569943,11.461732378,25.050058,2.795729
6000,2,26857.89,123630,21,44119,46780362574,37782004345,1083140976,46038858,11.085335571,24.461667,2.628825
6000,2,26718.57,124524,46,44603,46589713918,37936706490,1113229226,52834062,11.096770141,24.126145,2.826769
6000,2,27697.8,124517,48,49752,49023793237,37516694200,1248209129,56870370,11.514797915,25.311011,2.587051
6000,2,27749.32,132202,38,44441,48186588588,36913988107,1122002044,50950289,11.446633572,25.078322,2.912098
6000,4,26482.9,65357,29,42338,48351824861,36401655404,1033198300,53967656,5.997416217,25.078445,1.524748
6000,4,25902.93,68149,45,40523,47160701694,37549506405,1049942586,56014224,5.860173383,24.515371,1.501537
6000,4,25715.46,64811,36,41081,46897118973,37349535031,1011729671,51004251,5.819349491,24.260524,1.578361
6000,4,26691.3,65761,205,43568,48735086187,36440380539,1041123242,53442023,6.053710594,25.319521,1.487013
6000,4,25713.58,66031,37,41422,46938091081,37350122678,1011819063,50777390,5.834302837,24.264922,1.572857
6000,8,26283.87,43166,246,42623,49293133776,36165599548,990221924,48827106,3.250162847,25.255119,1.100403
6000,8,27237.98,44819,166,43661,50929497439,36306308571,1017416044,51951881,3.337505683,26.193771,1.120884
6000,8,27327.46,44804,232,42670,51046881877,36305699321,1015533475,52778881,3.364395419,26.290229,1.105659
6000,8,27582.19,46262,227,43823,51508744959,36484281925,1051348738,57427065,3.373952842,26.571903,1.084321
6000,8,26959.03,41077,224,43991,50212689629,36187498133,995138520,51526393,3.331197623,25.939904,1.098961
6000,16,27948.43,49683,171,44308,54308162619,37652127513,1069034799,39943391,1.882120446,27.170234,0.829342
6000,16,27786.05,49033,223,42057,54182922746,37467236212,1033481260,38103798,1.885890489,27.015944,0.817393
6000,16,27767.44,51095,197,44357,53856522852,37681961556,1074111619,40403182,1.882072474,27.044335,0.772609
6000,16,28634.21,50111,154,42563,55610511081,36407031099,1033455651,39564452,1.937196136,27.874435,0.813046
6000,16,28721.0,47253,203,43237,55334043202,37695311158,1078157643,40729094,1.932113999,27.898499,0.873142
6000,32,34507.27,28752,1044,46600,68285555191,38062727526,1291994899,36984014,1.359365264,33.921917,0.574117
6000,32,35022.06,31229,1040,43571,69219316720,36929664112,1137065875,31918539,1.352982121,34.46104,0.544711
6000,32,35135.87,32395,1000,44279,69596946732,38051648668,1147801388,32313847,1.372605227,34.601168,0.516435
6000,32,34672.18,34283,930,44155,68753980467,37335364374,1214065439,33482381,1.359033256,34.047085,0.608287
6000,32,36858.99,32533,1217,49531,73016379038,37738640925,1296474101,36100205,1.443604185,36.256029,0.589707
6000,64,39117.31,20492,1777,39786,77511213369,38070737691,1249413963,35217968,1.510036753,38.595769,0.50514
6000,64,36640.52,19743,2024,38138,72695828186,39143713478,1225738685,33479861,1.437878703,36.236148,0.388427
6000,64,39445.8,21642,1862,37798,78259548668,36907466763,1124921667,33404360,1.520588588,38.953608,0.480415
