5000,8,MiB Mem :  15690.9 total,   6202.7 free,   7352.8 used,   3113.6 buff/cache     
5000,8,MiB Mem :  15690.9 total,   6220.1 free,   7335.3 used,   3113.9 buff/cache     
5000,8,MiB Mem :  15690.9 total,   6201.3 free,   7354.1 used,   3113.9 buff/cache     
5000,8,MiB Mem :  15690.9 total,   6232.1 free,   7323.5 used,   3111.6 buff/cache     
5000,8,MiB Mem :  15690.9 total,   6207.3 free,   7348.0 used,   3111.7 buff/cache     
5000,16,MiB Mem :  15690.9 total,   6223.7 free,   7331.6 used,   3111.7 buff/cache     
5000,16,MiB Mem :  15690.9 total,   6212.8 free,   7342.5 used,   3111.6 buff/cache     
5000,16,MiB Mem :  15690.9 total,   6186.8 free,   7368.5 used,   3111.7 buff/cache     
5000,16,MiB Mem :  15690.9 total,   6169.5 free,   7386.0 used,   3111.5 buff/cache     
5000,16,MiB Mem :  15690.9 total,   6184.2 free,   7371.2 used,   3103.4 buff/cache     
5000,32,MiB Mem :  15690.9 total,   6189.8 free,   7365.6 used,   3103.4 buff/cache     
5000,32,MiB Mem :  15690.9 total,   6175.3 free,   7380.0 used,   3111.4 buff/cache     
5000,32,MiB Mem :  15690.9 total,   6180.5 free,   7374.6 used,   3103.7 buff/cache     
5000,32,MiB Mem :  15690.9 total,   6194.0 free,   7361.2 used,   3103.6 buff/cache     
5000,32,MiB Mem :  15690.9 total,   6209.7 free,   7345.7 used,   3103.4 buff/cache     
6000,1,MiB Mem :  15690.9 total,   6214.2 free,   7341.1 used,   3103.5 buff/cache     
6000,1,MiB Mem :  15690.9 total,   6239.3 free,   7316.0 used,   3103.8 buff/cache     
6000,1,MiB Mem :  15690.9 total,   6234.2 free,   7321.1 used,   3103.8 buff/cache     
6000,1,MiB Mem :  15690.9 total,   6237.2 free,   7318.3 used,   3098.1 buff/cache     
6000,1,MiB Mem :  15690.9 total,   6225.2 free,   7330.1 used,   3097.1 buff/cache     
6000,2,MiB Mem :  15690.9 total,   6219.2 free,   7336.1 used,   3098.3 buff/cache     
6000,2,MiB Mem :  15690.9 total,   6191.7 free,   7363.7 used,   3092.9 buff/cache     
6000,2,MiB Mem :  15690.9 total,   6226.6 free,   7328.8 used,   3089.0 buff/cache     
6000,2,MiB Mem :  15690.9 total,   6245.3 free,   7310.1 used,   3091.0 buff/cache     
6000,2,MiB Mem :  15690.9 total,   6254.1 free,   7301.2 used,   3089.0 buff/cache     
6000,4,MiB Mem :  15690.9 total,   6248.6 free,   7306.9 used,   3088.6 buff/cache     
6000,4,MiB Mem :  15690.9 total,   6244.8 free,   7310.7 used,   3088.6 buff/cache     
6000,4,MiB Mem :  15690.9 total,   6244.4 free,   7311.0 used,   3088.6 buff/cache     
6000,4,MiB Mem :  15690.9 total,   6230.0 free,   7325.4 used,   3088.7 buff/cache     
6000,4,MiB Mem :  15690.9 total,   6256.7 free,   7298.6 used,   3079.3 buff/cache     
6000,8,MiB Mem :  15690.9 total,   6249.3 free,   7306.0 used,   3079.3 buff/cache     
6000,8,MiB Mem :  15690.9 total,   6247.9 free,   7307.4 used,   3078.5 buff/cache     
6000,8,MiB Mem :  15690.9 total,   6234.9 free,   7320.6 used,   3078.8 buff/cache     
6000,8,MiB Mem :  15690.9 total,   6231.6 free,   7323.7 used,   3078.2 buff/cache     
6000,8,MiB Mem :  15690.9 total,   6226.4 free,   7328.9 used,   3078.3 buff/cache     
6000,16,MiB Mem :  15690.9 total,   6249.2 free,   7306.1 used,   3078.4 buff/cache     
6000,16,MiB Mem :  15690.9 total,   6242.7 free,   7312.8 used,   3078.2 buff/cache     
6000,16,MiB Mem :  15690.9 total,   6257.9 free,   7297.6 used,   3078.3 buff/cache     
6000,16,MiB Mem :  15690.9 total,   6262.7 free,   7292.5 used,   3078.6 buff/cache     
6000,16,MiB Mem :  15690.9 total,   6253.0 free,   7302.5 used,   3078.8 buff/cache     
6000,32,MiB Mem :  15690.9 total,   6257.0 free,   7298.3 used,   3079.2 buff/cache     
6000,32,MiB Mem :  15690.9 total,   6240.7 free,   7314.6 used,   3081.2 buff/cache     
6000,32,MiB Mem :  15690.9 total,   6246.5 free,   7308.9 used,   3081.1 buff/cache     
6000,32,MiB Mem :  15690.9 total,   6252.2 free,   7303.2 used,   3079.0 buff/cache     
6000,32,MiB Mem :  15690.9 total,   6226.3 free,   7329.1 used,   3086.5 buff/cache     
7000,1,MiB Mem :  15690.9 total,   6280.5 free,   7274.8 used,   3079.0 buff/cache     
7000,1,MiB Mem :  15690.9 total,   6270.3 free,   7285.0 used,   3078.9 buff/cache     
7000,1,MiB Mem :  15690.9 total,   6280.3 free,   7275.2 used,   3078.9 buff/cache     
7000,1,MiB Mem :  15690.9 total,   6261.1 free,   7294.2 used,   3078.8 buff/cache     
7000,1,MiB Mem :  15690.9 total,   6256.3 free,   7299.0 used,   3079.1 buff/cache     
7000,2,MiB Mem :  15690.9 total,   6257.3 free,   7298.2 used,   3078.9 buff/cache     
7000,2,MiB Mem :  15690.9 total,   6250.7 free,   7304.7 used,   3079.3 buff/cache     
7000,2,MiB Mem :  15690.9 total,   6242.4 free,   7313.1 used,   3078.5 buff/cache     
7000,2,MiB Mem :  15690.9 total,   6248.3 free,   7307.0 used,   3079.1 buff/cache     
7000,2,MiB Mem :  15690.9 total,   6236.1 free,   7319.4 used,   3078.4 buff/cache     
7000,4,MiB Mem :  15690.9 total,   6234.3 free,   7320.9 used,   3080.9 buff/cache     
7000,4,MiB Mem :  15690.9 total,   6212.0 free,   7343.2 used,   3081.2 buff/cache     
7000,4,MiB Mem :  15690.9 total,   6251.0 free,   7304.2 used,   3079.2 buff/cache     
7000,4,MiB Mem :  15690.9 total,   6239.1 free,   7316.0 used,   3079.4 buff/cache     
7000,4,MiB Mem :  15690.9 total,   6260.7 free,   7294.5 used,   3079.2 buff/cache     
7000,8,MiB Mem :  15690.9 total,   6231.5 free,   7323.9 used,   3079.0 buff/cache     
7000,8,MiB Mem :  15690.9 total,   6222.6 free,   7332.5 used,   3079.7 buff/cache     
7000,8,MiB Mem :  15690.9 total,   6200.2 free,   7355.1 used,   3079.6 buff/cache     
7000,8,MiB Mem :  15690.9 total,   6215.2 free,   7340.0 used,   3079.5 buff/cache     
7000,8,MiB Mem :  15690.9 total,   6213.6 free,   7341.6 used,   3079.3 buff/cache     
7000,16,MiB Mem :  15690.9 total,   6209.0 free,   7346.3 used,   3079.0 buff/cache     
7000,16,MiB Mem :  15690.9 total,   6218.6 free,   7336.6 used,   3079.0 buff/cache     
7000,16,MiB Mem :  15690.9 total,   6201.1 free,   7354.1 used,   3080.7 buff/cache     
7000,16,MiB Mem :  15690.9 total,   6213.5 free,   7341.8 used,   3078.6 buff/cache     
7000,16,MiB Mem :  15690.9 total,   6192.6 free,   7362.6 used,   3086.6 buff/cache     
7000,32,MiB Mem :  15690.9 total,   6214.6 free,   7340.8 used,   3078.4 buff/cache     
7000,32,MiB Mem :  15690.9 total,   6189.4 free,   7365.8 used,   3078.5 buff/cache     
7000,32,MiB Mem :  15690.9 total,   6230.0 free,   7325.3 used,   3075.0 buff/cache     
7000,32,MiB Mem :  15690.9 total,   6214.3 free,   7341.0 used,   3075.0 buff/cache     
7000,32,MiB Mem :  15690.9 total,   6226.9 free,   7328.5 used,   3074.8 buff/cache     
8000,1,MiB Mem :  15690.9 total,   6246.6 free,   7308.7 used,   3075.0 buff/cache     
8000,1,MiB Mem :  15690.9 total,   6256.3 free,   7299.0 used,   3075.0 buff/cache     
8000,1,MiB Mem :  15690.9 total,   6293.5 free,   7261.8 used,   3075.0 buff/cache     
8000,1,MiB Mem :  15690.9 total,   6286.1 free,   7269.2 used,   3074.5 buff/cache     
8000,1,MiB Mem :  15690.9 total,   6285.8 free,   7269.4 used,   3074.6 buff/cache     
8000,2,MiB Mem :  15690.9 total,   6286.6 free,   7268.8 used,   3074.4 buff/cache     
8000,2,MiB Mem :  15690.9 total,   6286.1 free,   7269.1 used,   3074.4 buff/cache     
8000,2,MiB Mem :  15690.9 total,   6279.5 free,   7275.7 used,   3074.6 buff/cache     
8000,2,MiB Mem :  15690.9 total,   6276.2 free,   7279.0 used,   3074.6 buff/cache     
8000,2,MiB Mem :  15690.9 total,   6276.8 free,   7278.4 used,   3074.6 buff/cache     
8000,4,MiB Mem :  15690.9 total,   6262.7 free,   7292.5 used,   3077.7 buff/cache     
8000,4,MiB Mem :  15690.9 total,   6176.3 free,   7379.0 used,   3075.6 buff/cache     
8000,4,MiB Mem :  15690.9 total,   6233.5 free,   7321.6 used,   3075.3 buff/cache     
